Date,amgn,gd,nwl,zion,mat,vno,sbac,flir,wfc,aee,fcx,ksu,mtb,duk,tss,etr,pnr,incy,regn,mdlz,wynn,pep,dva,ads,mnst,sti,akam,tfx,wat,antm,hon,o,usb,ma,rtn,sna,dre,csx,pcar,pru,amp,ndaq,ual,apa,re,gww,dte,cf,aig,msci
2017-06-02,151.78815,155.26907,45.66635,37.59987,22.900795,95.279015,110.306496,35.172047,51.74862,41.046436,12.282111,95.75047,139.16837,67.91325,57.719856,71.36481,61.332813,129.11763,524.5751,46.694878,127.78272,104.58431,75.76775,252.18336,50.02699,46.23251,54.365726,185.94754,158.19127,157.91783,91.29468,40.30451,37.70567,83.293236,103.93275,96.36784,17.914808,32.52413,51.365337,71.43684,93.90698,44.538586,52.783962,60.709538,153.81432,163.32274,72.06347,36.198975,222.3862,66.59285
2017-06-05,150.73343,155.21968,45.43792,37.26375,22.793432,95.229385,110.281006,35.206944,51.33028,41.07472,11.965757,95.54123,138.57082,67.802864,57.481007,71.69404,61.27733,128.8755,524.6187,46.707073,127.585464,104.71404,75.79506,250.36703,49.74417,46.126057,54.05714,186.1822,158.4346,157.615,91.429054,40.20613,38.072025,83.97589,104.683495,97.11847,17.622053,32.75583,51.36646,71.81631,93.53991,44.431747,53.131817,61.300156,152.37666,162.74747,71.95342,36.611294,227.16779,68.41943
2017-06-06,151.60661,155.95503,45.924706,37.308895,23.081656,95.88536,109.78965,35.38363,51.63855,41.34675,12.014677,95.79307,139.49359,68.03003,58.706924,72.513985,61.608112,129.28075,530.7619,46.970364,130.79999,104.93854,75.899895,251.44225,50.111053,46.23714,54.370872,189.87833,160.37212,158.90556,93.09275,40.80262,39.25975,84.85828,107.1062,98.723114,17.751131,33.58586,52.3329,72.72999,96.8719,45.53585,54.56068,63.97577,154.34045,166.29048,72.30397,38.074112,233.20807,71.47812
2017-06-07,152.9521,156.58656,46.107742,37.4735,23.235468,95.982765,110.091545,35.45516,51.891693,41.55808,12.101193,95.94585,139.93785,68.06088,59.52422,73.40673,61.659393,129.19797,535.9772,47.140415,131.85266,105.233696,75.8442,252.06024,50.489082,46.221485,54.883064,192.00108,161.94006,159.60828,94.653854,41.397045,39.95245,85.744125,109.1326,100.28053,17.944876,34.197582,53.14013,73.521866,99.32852,46.62209,55.23705,66.58368,156.37007,170.50566,72.75963,39.468075,239.32843,73.53763
2017-06-08,154.19392,156.73758,46.169655,37.639187,23.21067,95.79179,110.25433,35.40698,51.984386,41.61696,12.070554,96.0801,139.89156,68.08055,59.88362,74.08251,61.65176,128.66978,540.1075,47.202076,131.06635,105.40867,75.8199,252.51526,50.706272,46.148006,55.23165,193.04677,162.83551,159.9212,95.712616,41.90118,40.319023,86.65282,110.71842,101.77787,18.101776,34.529385,53.582718,74.167496,100.85365,47.471832,55.412567,68.15321,157.86594,173.97894,73.09818,40.53753,243.90834,74.48922
2017-06-09,154.9864,156.5674,46.03114,37.643074,22.996517,95.623535,110.42171,35.21271,51.888103,41.559822,11.921937,95.86098,139.43837,68.03463,59.657997,74.30415,61.52092,127.63444,542.3748,47.107952,129.53777,105.413765,75.74206,252.11987,50.66008,46.05579,55.430676,192.82874,162.88112,159.8209,96.28259,42.24899,40.47779,87.60319,111.89627,103.22141,18.188318,34.66074,53.716095,74.72481,101.56625,48.060402,55.255447,68.72306,158.73825,176.4993,73.14847,41.297974,246.11748,74.515724
2017-06-12,155.13654,156.08163,45.729008,37.593384,22.600512,95.43526,110.51649,34.8595,51.66012,41.408924,11.662816,95.78005,138.83934,67.95187,58.9536,74.05681,61.353794,126.357475,542.30945,46.846165,126.55722,105.22237,75.66544,251.1051,50.36626,46.02657,55.35789,191.05763,162.20685,159.33931,96.45017,42.41691,40.50408,88.58426,112.74109,104.46231,18.204952,34.63669,53.63362,75.232315,101.61265,48.414577,54.949066,68.57597,159.0905,178.21884,73.00279,41.76409,245.59138,73.93233
2017-06-13,156.81668,156.11131,46.083363,37.963688,22.664463,96.026344,110.00572,34.62298,52.17529,41.495457,11.886646,96.265396,139.8643,68.10237,59.67174,74.30684,61.5652,125.7902,545.3832,46.959366,128.02127,105.189026,75.702705,253.0025,50.60037,46.357216,55.544285,192.59999,163.1472,159.92482,97.28901,42.87312,40.88493,88.97906,113.803215,105.28044,18.370579,34.88116,53.932537,75.35421,103.95712,49.08727,55.540833,69.39271,160.37007,180.58902,73.23864,42.380707,247.6276,74.827576
2017-06-14,158.40015,156.39853,46.19391,38.65671,22.620203,96.41097,110.205696,34.427486,52.6296,41.6013,12.353896,96.830666,140.56541,68.08534,60.15673,74.61664,61.672333,125.1663,547.2255,46.960026,129.90639,105.30894,75.659546,254.6506,50.831078,46.612896,56.098503,193.23662,163.78777,160.16257,97.85333,43.191837,40.98085,89.1286,114.32121,105.65968,18.514605,35.047943,54.17749,75.40727,105.47144,49.59565,55.619537,69.97277,161.5137,182.05391,73.63423,42.60532,250.86646,75.29273
2017-06-15,159.56252,156.5647,46.225605,39.161957,21.786121,96.60146,110.30656,34.25344,52.841698,41.60099,12.637048,97.232254,140.66748,68.08973,60.225662,74.78829,61.712044,124.67729,548.2561,46.90247,131.26974,105.38569,75.66804,255.35548,50.967037,46.72318,56.461662,193.1601,164.0341,160.16226,98.04218,43.411667,40.935535,89.280426,114.55044,106.02467,18.602262,35.0819,54.24213,75.49142,106.301056,49.862537,55.4538,69.95134,162.23872,183.0056,73.94688,42.61707,253.49297,75.24012
